"","mystery01","mystery02","mystery03"
"1",50,"50",NA
"2",50,"50",-1
"3",50,"50",NA
"4",50,"50",NA
"5",50,"50",NA
"6",50,"50",1
"7",50,"50",0
"8",50,"50",0
"9",50,"50",0
"10",50,"50",NA
"11",50,"50",1
"12",50,"50",NA
"13",50,"50",-1
"14",50,"50",0
"15",50,"50",NA
"16",50,"50",1
"17",50,"50",NA
"18",50,"50",-2
"19",50,"50",1
"20",50,"50",0
"21",50,"50",-1
"22",50,"50",NA
"23",50,"50",3
"24",50,"50",NA
"25",50,"50",NA
"26",50,"50",NA
"27",50,"50",-2
"28",50,"50",NA
"29",50,"50",NA
"30",50,"50",1
"31",50,"50",2
"32",50,"50",0
"33",50,"50",NA
"34",50,"50",-1
"35",50,"50",0
"36",50,"50",0
"37",50,"50",-1
"38",50,"50",NA
"39",50,"50",-1
"40",50,"50",-1
"41",50,"50",0
"42",50,"50",0
"43",50,"50",0
"44",50,"50",0
"45",50,"50",NA
"46",50,"50",1
"47",50,"50",-1
"48",50,"50",NA
"49",50,"50",1
"50",50,"50",0
"51",50,"50",-1
"52",50,"50",-1
"53",50,"50",0
"54",50,"50",0
"55",50,"50",1
"56",50,"50",0
"57",50,"50",NA
"58",50,"50",0
"59",50,"50",0
"60",50,"50",1
"61",50,"50",NA
"62",50,"50",-1
"63",50,"50",-1
"64",50,"50",-2
"65",50,"50",-2
"66",50,"50",NA
"67",50,"50",NA
"68",50,"50",-1
"69",50,"50",NA
"70",50,"50",0
"71",50,"50",NA
"72",50,"50",0
"73",50,"50",NA
"74",50,"50",1
"75",50,"50",0
"76",50,"50",-2
"77",50,"50",-1
"78",50,"50",NA
"79",50,"50",-2
"80",50,"50",1
"81",50,"50",NA
"82",50,"50",NA
"83",50,"50",NA
"84",50,"50",-2
"85",50,"50",0
"86",50,"50",NA
"87",50,"50",NA
"88",50,"50",0
"89",50,"50",NA
"90",50,"50",NA
"91",50,"50",1
"92",50,"50",-3
"93",50,"50",-1
"94",50,"50",1
"95",50,"50",NA
"96",50,"50",-1
"97",50,"50",1
"98",50,"50",0
"99",50,"50",NA
"100",50,"50",1
"101",50,"50",-1
"102",50,"50",1
"103",50,"50",NA
"104",50,"50",1
"105",50,"50",0
"106",50,"50",0
"107",50,"50",-1
"108",50,"50",NA
"109",50,"50",0
"110",50,"50",-2
"111",50,"50",0
"112",50,"50",-1
"113",50,"50",-1
"114",50,"50",0
"115",50,"50",1
"116",50,"50",-1
"117",50,"50",0
"118",50,"50",1
"119",50,"50",NA
"120",50,"50",2
"121",50,"50",-2
"122",50,"50",NA
"123",50,"50",0
"124",50,"50",NA
"125",50,"50",2
"126",50,"50",1
"127",50,"50",NA
"128",50,"50",0
"129",50,"50",-1
"130",50,"50",1
"131",50,"50",0
"132",50,"50",NA
"133",50,"50",NA
"134",50,"50",NA
"135",50,"50",0
"136",50,"50",0
"137",50,"50",0
"138",50,"50",-1
"139",50,"50",-1
"140",50,"50",0
"141",50,"50",NA
"142",50,"50",NA
"143",50,"50",NA
"144",50,"50",0
"145",50,"50",0
"146",50,"50",0
"147",50,"50",0
"148",50,"50",-1
"149",50,"50",NA
"150",50,"50",0
"151",50,"50",NA
"152",50,"50",NA
"153",50,"50",0
"154",50,"50",-1
"155",50,"50",NA
"156",50,"50",1
"157",50,"50",NA
"158",50,"50",0
"159",50,"50",NA
"160",50,"50",NA
"161",50,"50",0
"162",50,"50",NA
"163",50,"50",NA
"164",50,"50",NA
"165",50,"50",0
"166",50,"50",1
"167",50,"50",-1
"168",50,"50",-2
"169",50,"50",0
"170",50,"50",NA
"171",50,"50",NA
"172",50,"50",NA
"173",50,"50",NA
"174",50,"50",-2
"175",50,"50",NA
"176",50,"50",NA
"177",50,"50",-1
"178",50,"50",0
"179",50,"50",-1
"180",50,"50",1
"181",50,"50",NA
"182",50,"50",1
"183",50,"50",1
"184",50,"50",-1
"185",50,"50",NA
"186",50,"50",2
"187",50,"50",NA
"188",50,"50",0
"189",50,"50",NA
"190",50,"50",NA
"191",50,"50",NA
"192",50,"50",-1
"193",50,"50",-1
"194",50,"50",NA
"195",50,"50",-1
"196",50,"50",NA
"197",50,"50",NA
"198",50,"50",-1
"199",50,"50",1
"200",50,"50",NA
"201",50,"50",1
"202",50,"50",-1
"203",50,"50",0
"204",50,"50",0
"205",50,"50",0
"206",50,"50",0
"207",50,"50",-1
"208",50,"50",1
"209",50,"50",1
"210",50,"50",NA
"211",50,"50",0
"212",50,"50",-2
"213",50,"50",NA
"214",50,"50",NA
"215",50,"50",-1
"216",50,"50",1
"217",50,"50",0
"218",50,"50",1
"219",50,"50",-2
"220",50,"50",2
"221",50,"50",-1
"222",50,"50",NA
"223",50,"50",-2
"224",50,"50",0
"225",50,"50",0
"226",50,"50",0
"227",50,"50",1
"228",50,"50",NA
"229",50,"50",1
"230",50,"50",0
"231",50,"50",NA
"232",50,"50",1
"233",50,"50",1
"234",50,"50",-1
"235",50,"50",NA
"236",50,"50",-1
"237",50,"50",NA
"238",50,"50",NA
"239",50,"50",1
"240",50,"50",0
"241",50,"50",0
"242",50,"50",-1
"243",50,"50",-1
"244",50,"50",NA
"245",50,"50",-2
"246",50,"50",-1
"247",50,"50",NA
"248",50,"50",0
"249",50,"50",-1
"250",50,"50",-1
"251",50,"50",NA
"252",50,"50",0
"253",50,"50",-1
"254",50,"50",NA
"255",50,"50",NA
"256",50,"50",-1
"257",50,"50",1
"258",50,"50",0
"259",50,"50",NA
"260",50,"50",NA
"261",50,"50",-1
"262",50,"50",0
"263",50,"50",2
"264",50,"50",-1
"265",50,"50",1
"266",50,"50",1
"267",50,"50",NA
"268",50,"50",1
"269",50,"50",0
"270",50,"50",0
"271",50,"50",2
"272",50,"50",-1
"273",50,"50",0
"274",50,"50",-2
"275",50,"50",2
"276",50,"50",1
"277",50,"50",1
"278",50,"50",1
"279",50,"50",-1
"280",50,"50",NA
"281",50,"50",-1
"282",50,"50",0
"283",50,"50",NA
"284",50,"50",0
"285",50,"50",0
"286",50,"50",2
"287",50,"50",NA
"288",50,"50",-1
"289",50,"50",0
"290",50,"50",NA
"291",50,"50",-1
"292",50,"50",NA
"293",50,"50",1
"294",50,"50",NA
